条文号,康平本层级,包含层级,校勘说明
166,降一格,降一格,
167,降二格,降二格,
168,顶格,顶格,
169,顶格,顶格,
170,顶格,顶格,
171,降二格,降二格,
172,顶格,顶格,
173,顶格,顶格,
174,顶格,顶格,
175,顶格,顶格,
176,顶格,顶格,
177,顶格,顶格,
178,降二格,降二格,
179,降二格,降二格,
180,顶格,顶格,
181,降二格,降二格,
